timestamp,cpu_usage,ram_usage,disk_usage,net_sent,net_recv,process_count,uptime_seconds,label
2026-03-03 14:28:27.140502,16.0,83.3,14.8,18575476,45683997,322,1103614.3481914997,0
2026-03-03 14:28:32.162695,10.1,82.5,14.8,18586087,45693817,321,1103619.3579587936,0
2026-03-03 14:28:37.171405,5.5,82.5,14.8,18586719,45695350,321,1103624.3742346764,0
2026-03-03 14:28:42.188150,12.2,82.7,14.8,18587463,45696621,321,1103629.3913104534,0
2026-03-03 14:28:47.205564,9.5,82.6,14.8,18608474,45709455,321,1103634.3995828629,0
2026-03-03 14:28:52.212505,3.7,82.3,14.8,18611706,45710281,320,1103639.415365696,0
2026-03-03 14:28:57.229209,13.4,82.1,14.8,18614802,45710969,320,1103644.4281039238,0
2026-03-03 14:29:02.241822,12.1,83.5,14.8,18654847,45739561,322,1103649.4407949448,0
2026-03-03 14:29:07.257632,21.9,84.2,14.8,18732474,45909297,324,1103654.4600880146,0
2026-03-03 14:29:12.275385,8.1,84.9,14.8,18945345,48875793,324,1103659.4781284332,0
2026-03-03 14:29:17.292114,10.5,85.6,14.8,19127224,49196724,324,1103664.5014345646,0
2026-03-03 14:29:22.323018,3.9,85.8,14.8,19321144,49690129,324,1103669.5269522667,0
2026-03-03 14:29:27.340545,4.9,85.6,14.8,19362597,49762467,323,1103674.5410671234,0
2026-03-03 14:29:32.355202,6.7,85.2,14.8,19392330,49822022,323,1103679.5592663288,0
2026-03-03 14:29:37.379032,5.6,85.3,14.8,19413884,49940692,323,1103684.5836513042,0
2026-03-03 14:29:42.404276,19.9,85.3,14.8,19434520,49968810,324,1103689.607233286,0
2026-03-03 14:29:47.422252,10.3,85.4,14.8,19487369,50121656,324,1103694.627053976,0
2026-03-03 14:29:52.442,8.2,85.2,14.8,19498751,50130087,324,1103699.6440377235,0
2026-03-03 14:29:57.458066,4.2,85.1,14.8,19504339,50131737,324,1103704.6668784618,0
2026-03-03 14:30:02.487353,10.2,84.8,14.8,19519690,50185656,324,1103709.6906232834,0
2026-03-03 14:30:07.507447,15.1,83.8,14.8,19535143,50200303,324,1103714.7076067924,0
2026-03-03 14:30:12.524155,3.8,83.7,14.8,19550212,50210671,324,1103719.7259936333,0
2026-03-03 14:30:17.540379,8.8,83.4,14.8,19600273,50375008,324,1103724.7458524704,0
2026-03-03 14:30:22.561583,9.7,84.2,14.8,19650160,50575844,324,1103729.7611386776,0
2026-03-03 14:30:27.575560,9.4,84.1,14.8,19653618,50577824,324,1103734.789206028,0
2026-03-03 14:30:32.614510,12.8,84.7,14.8,19667490,50580422,324,1103739.8275732994,0
2026-03-03 14:30:37.644636,26.9,87.3,14.8,19712155,50674770,327,1103744.8590903282,0
2026-03-03 14:30:42.679571,5.8,86.8,14.8,19752207,50824014,327,1103749.8839080334,0
2026-03-03 14:30:47.698582,14.9,86.7,14.8,19773748,50842923,327,1103754.9023623466,0
2026-03-03 14:30:52.716618,12.0,87.0,14.8,19817334,50862998,327,1103759.9225206375,0
2026-03-03 14:30:57.738901,7.9,87.0,14.8,19833917,50864057,327,1103764.9538838863,0
2026-03-03 14:31:02.776579,15.3,86.3,14.8,19847595,50868982,327,1103769.979077816,0
2026-03-03 14:31:07.798741,5.9,84.5,14.8,19868322,50879924,327,1103775.0104494095,0
2026-03-03 14:31:12.826498,12.1,84.7,14.8,20021255,50980923,326,1103780.0320219994,0
2026-03-03 14:31:17.850370,10.1,84.6,14.8,20088610,51006531,326,1103785.0461082458,0
2026-03-03 14:31:22.860017,7.8,84.7,14.8,20101412,51015722,324,1103790.0564227104,0
